HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,pct_of_pop_below_poverty,Longitude,Latitude
Anchorage Neighborhood Health Center,7029990224,Federally Qualified Health Center,Mental Health,18,AK,Designated,7/14/2003,,Anchorage Borough,,,-149.899652,61.19532646
Mt. Sanford Tribal Consortium,7029990271,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,3/5/2018,,Valdez-Cordova Census Area,,,-144.2343058,62.71581126
Southcentral Foundation,7029990252,Federally Qualified Health Center,Mental Health,17,AK,Designated,10/26/2002,,Anchorage Borough,,,-149.7960094,61.1819035
Ketchikan Gateway Borough,702130,High Needs Geographic HPSA,Mental Health,0,AK,Withdrawn,5/11/2000,4/29/2011,,Geographic Population,,,
Skagway-Yakutat-Angoon,702231,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,8.9,,
Fort Yukon Catchment Area 4,7029990205,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,29,,
Dahl Memorial Clinc,7029990264,Federally Qualified Health Center,Mental Health,15,AK,Designated,10/31/2006,,Skagway Municipality,,,-135.3064564,59.4607463
Bristol Bay Borough,7029990255,Federally Qualified Health Center,Mental Health,16,AK,Designated,10/26/2002,,Bristol Bay Borough,,,-157.0063805,58.732035
Low Income - Fairbanks North Star Borough,7029990266,HPSA Population,Mental Health,18,AK,Withdrawn,1/21/2010,6/25/2014,,Low Income Population HPSA,,,
Wade-Hampton Area,702270,Geographic HPSA,Mental Health,0,AK,Withdrawn,8/15/1982,11/6/2009,,Geographic Population,27.8,,
Norton Sound Health Corporation,7029990226,Federally Qualified Health Center,Mental Health,17,AK,Designated,7/14/2003,,Nome Census Area,,,-165.375951,64.49992169
Kodiak Island Health Care Foundation,7029990242,Federally Qualified Health Center,Mental Health,20,AK,Designated,10/26/2002,,Kodiak Island Borough,,,-152.3749184,57.80038766
Wrangell/Petersburg,702280,High Needs Geographic HPSA,Mental Health,0,AK,Withdrawn,4/12/2000,4/29/2011,,Geographic Population,,,
Kenai/Homer (Catchment Area's 17 and 24),7029990215,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,11,,
Ninilchik Traditional Council,702999026C,Alaskan Native Tribal Population,Mental Health,15,AK,Designated,10/26/2002,,Kenai Peninsula Borough,,,-151.681553,60.018369
Southern Southeast Alaska,7023339606,High Needs Geographic HPSA,Mental Health,17,AK,Designated,4/29/2011,,,Geographic Population,12,,
Dena' Nena' Henash,7029990230,Federally Qualified Health Center,Mental Health,19,AK,Designated,7/14/2003,,Fairbanks North Star Borough,,,-147.7074724,64.84412145
Kenaitze Indian Tribe,7029990218,Native American/Tribal Facility/Population,Mental Health,16,AK,Designated,12/7/2016,,Kenai Peninsula Borough,,,-151.2281825,60.6003
Kenai Peninsula Borough,7025623286,Geographic HPSA,Mental Health,17,AK,Designated,11/3/2010,,,Geographic Population,9.2,,
Nome Census Area,7029061002,Geographic HPSA,Mental Health,15,AK,Designated,10/23/2013,,,Geographic Population,27.6,,
Aniak (Catchment Area #10),7029990208,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,34,,
Valdez (Catchment Area #19),7029990217,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,12,,
Southeast Alaska Region Health Consortium,7029990262,Federally Qualified Health Center,Mental Health,18,AK,Designated,10/25/2002,,Juneau Borough,,,-134.4695938,58.32972501
Bethel and Wade Hampton,7023063508,Geographic HPSA,Mental Health,18,AK,Designated,12/23/2013,,,Geographic Population,26.5,,
Maniilaq Association,7029990250,Federally Qualified Health Center,Mental Health,17,AK,Designated,10/26/2002,,Northwest Arctic Borough,,,-162.5927212,66.89462689
Bristol Bay Borough,702060,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,1/21/2010,,Geographic Population,2.2,,
Front Street Community Health Center,702999020G,Federally Qualified Health Center,Mental Health,19,AK,Designated,4/1/2014,,Juneau Borough,,,-134.4061014,58.30051152
Skagway-Hoonah-Angoon Borough,702232,Geographic HPSA,Mental Health,9,AK,Withdrawn,6/30/2000,5/10/2013,,Geographic Population,,,
Searhc/MT. Edgecumbe Hospital,702999026B,Alaskan Native Tribal Population,Mental Health,17,AK,Designated,10/26/2002,,Sitka Borough,,,-135.3547936,57.04957761
Girdwood Health Clinic,702999026J,Federally Qualified Health Center,Mental Health,13,AK,Designated,2/15/2017,,Anchorage Borough,,,-149.1339758,60.96380556
Southeast Fairbanks Census Area,7023616149,Geographic HPSA,Mental Health,14,AK,Designated,12/6/2013,,,Geographic Population,13.6,,
Dillingham Area,702070,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,11/3/2011,,Geographic Population,,,
Eastern Aleutian Tribe Inc.,7029990235,Federally Qualified Health Center,Mental Health,17,AK,Designated,7/14/2003,,Anchorage Borough,,,-149.8833056,61.20562103
Cordova Catchment Area 23,7029990219,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,12,,
Seward (Catchment Area #18),7029990216,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,11,,
Alaska Island Community Services,7029990257,Federally Qualified Health Center,Mental Health,15,AK,Designated,10/26/2002,,Wrangell City and Borough,,,-132.380145,56.4712602
Hoonah-Angoon,7025475603,Geographic HPSA,Mental Health,9,AK,Designated,5/10/2013,,,Geographic Population,15,,
Chitina Tribal and Community Health Center,7029990270,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,1/19/2018,,Valdez-Cordova Census Area,,,-144.4375115,61.514853
Norton Sound Health Corporation-Outpatient Primary Care/Dt Tribal C,7029990207,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,5/17/2013,,Nome Census Area,,,-165.4067825,64.499244
Northwest Arctic Borough,7021324875,Geographic HPSA,Mental Health,17,AK,Designated,4/24/1987,,,Geographic Population,22.8,,
Spring Creek Correctional Center,7025327537,Correctional Facility,Mental Health,15,AK,Designated,9/16/2016,,Kenai Peninsula Borough,,,-149.3478383,60.093576
Bristol Bay Area Health Corporation,7029990238,Federally Qualified Health Center,Mental Health,17,AK,Designated,7/14/2003,,Dillingham Census Area,,,-158.5364647,59.00098107
Kodiak Island (Catchment Area #15),7029990213,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,10,,
Nome Census Area,7029990206,Geographic HPSA,Mental Health,0,AK,Withdrawn,9/8/2003,9/10/2008,,Geographic Population,0,,
Native Village of Eyak,7029990260,Federally Qualified Health Center,Mental Health,19,AK,Designated,9/30/2005,,Valdez-Cordova Census Area,,,-145.7627767,60.54317411
Skagway Municipality,7028287844,Geographic HPSA,Mental Health,7,AK,Designated,5/10/2013,,,Geographic Population,4.5,,
Peninsula Community Health Services of Alaska Inc.,7029990256,Federally Qualified Health Center,Mental Health,18,AK,Designated,10/26/2002,,Kenai Peninsula Borough,,,-151.0681091,60.49301021
Prince of Wales (Catchment Area #25),7029990220,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,11,,
Nshc Clinic Native Village of Diomede,7029990212,Alaskan Native Tribal Population,Mental Health,19,AK,Designated,3/16/2018,,Nome Census Area,,,-165.4067825,64.499244
Edgar Nollner Health Center,7029990225,Federally Qualified Health Center,Mental Health,8,AK,Withdrawn,7/14/2003,,Yukon-Koyukuk Census Area,,,-156.929264,64.733586
Sunshine Community Health Center,7029990233,Federally Qualified Health Center,Mental Health,19,AK,Designated,7/14/2003,,Matanuska-Susitna Borough,,,-150.0866898,62.22716158
Alaska Women's Resource Center,7029990248,Federally Qualified Health Center Look A Like,Mental Health,0,AK,Withdrawn,5/11/2005,,Anchorage Borough,,,-149.887421,61.216362
Mc Grath (Catchment Area #11),7029990209,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,29,,
Yakutat Tlingit Tribe,7029990258,Federally Qualified Health Center,Mental Health,12,AK,Designated,10/26/2002,,Yakutat Borough,,,-139.7319009,59.5442237
Bethel and Wade Hampton,7029990265,Geographic HPSA,Mental Health,20,AK,Withdrawn,11/6/2009,6/27/2013,,Geographic Population,,,
Aleutians East Borough,7023897973,Geographic HPSA,Mental Health,9,AK,Designated,5/11/2000,,,Geographic Population,16.3,,
Anchorage Community Mental Health Services,7029990249,Alaskan Native Tribal Population,Mental Health,0,AK,Withdrawn,5/23/2005,,Anchorage Borough,,,-149.8306663,61.18378381
Goose Creek Correctional Center,7028546287,Correctional Facility,Mental Health,12,AK,Designated,3/30/2017,,Matanuska-Susitna Borough,,,-150.0004968,61.35771333
Seward/Hope,7029990244,High Needs Geographic HPSA,Mental Health,0,AK,Withdrawn,3/14/2005,11/3/2010,,Geographic Population,,,
Haines Borough,7024781329,Geographic HPSA,Mental Health,8,AK,Designated,12/6/2013,,,Geographic Population,7.7,,
North Slope Borough,7021216834,Geographic HPSA,Mental Health,13,AK,Designated,4/24/1987,,,Geographic Population,10.1,,
Iliuliuk Family Health Center,7029990232,Federally Qualified Health Center,Mental Health,21,AK,Designated,7/14/2003,,Aleutians West Census Area,,,-166.538691,53.872308
Kanakanak Hospital,702999026E,Native American/Tribal Facility/Population,Mental Health,20,AK,Designated,10/16/2012,,Dillingham Census Area,,,-158.4600515,59.040429
Matanuska-Susitna Borough,702170,Geographic HPSA,Mental Health,13,AK,Designated,4/13/2018,,,Geographic Population,10.1,,
Fairbanks North Star,702090,Geographic HPSA,Mental Health,0,AK,Withdrawn,11/7/2001,1/13/2010,,Geographic Population,6.3,,
Yukon-Koyukuk Census Area,7026521640,Geographic HPSA,Mental Health,15,AK,Designated,12/6/2013,,,Geographic Population,24,,
Mat-Su Health Services,7029990261,Federally Qualified Health Center,Mental Health,19,AK,Designated,9/30/2005,,Matanuska-Susitna Borough,,,-149.4848025,61.5994105
Native Village of Kwinhagak,7029990210,Alaskan Native Tribal Population,Mental Health,21,AK,Designated,3/16/2018,,Bethel Census Area,,,-161.913341,59.74435878
Tanana Tribal Council,702999020D,Native American/Tribal Facility/Population,Mental Health,19,AK,Designated,10/26/2002,,Fairbanks North Star Borough,,,-147.7074724,64.84412145
Yukon-Kuskokwim-Delta Regional Hospital,702999020C,Native American/Tribal Facility/Population,Mental Health,0,AK,Withdrawn,11/20/2013,4/30/2015,Bethel Census Area,,,-161.7500985,60.79282977
Valdez-Cordova Census Area,7028557551,Geographic HPSA,Mental Health,14,AK,Designated,2/1/2001,,,Geographic Population,9.7,,
Sitka,7029990221,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,0,,
CF-Fairbanks Correctional Center,7022015644,Correctional Facility,Mental Health,12,AK,Withdrawn,10/20/2016,6/26/2017,Fairbanks North Star Borough,,,-147.758474,64.833532
Alaska Psychiatric Institute,7029990222,State Mental Hospital,Mental Health,0,AK,Withdrawn,4/19/1988,12/31/1996,,,,-151.0041578,64.80808789
Aleutians West Borough,7027783420,Geographic HPSA,Mental Health,10,AK,Designated,12/11/2013,,,Geographic Population,8.8,,
Fairbanks Native Association,7029990240,Native American/Tribal Facility/Population,Mental Health,10,AK,Designated,12/7/2016,,Fairbanks North Star Borough,,,-147.7103422,64.84421754
Prince of Wales/Outer Ketchikan,702201,High Needs Geographic HPSA,Mental Health,0,AK,Withdrawn,10/8/1999,4/29/2011,,Geographic Population,,,
Eklutna Health Clinic,702999026H,Native American/Tribal Facility/Population,Mental Health,20,AK,Designated,10/2/2002,,Anchorage Borough,,,-149.3617508,61.45871787
Bethel,702050,Geographic HPSA,Mental Health,0,AK,Withdrawn,8/15/1982,11/6/2009,,Geographic Population,20,,
Bethel Family Clinic,7029990227,Federally Qualified Health Center,Mental Health,19,AK,Designated,7/14/2003,,Bethel Census Area,,,-161.7625388,60.79594092
Bristol Bay/Dillingham/Lake Peninsula,7021618875,Geographic HPSA,Mental Health,14,AK,Designated,1/21/2010,,,Geographic Population,16.6,,
Aleutians/Pribilof Islands Association,7029990251,Federally Qualified Health Center,Mental Health,19,AK,Designated,8/22/2005,,Anchorage Borough,,,-149.8620121,61.17368046
Samuel Simmonds Memorial Hospital,702999026F,Native American/Tribal Facility/Population,Mental Health,17,AK,Designated,10/16/2012,,North Slope Borough,,,-156.7795785,71.29242757
Bethel Catchment Area #9,7029990202,Geographic HPSA,Mental Health,0,AK,Withdrawn,8/15/1982,12/31/1996,,Geographic Population,34,,
Chief Andrew Issac Health Center,702999026D,Native American/Tribal Facility/Population,Mental Health,21,AK,Designated,10/26/2002,,Fairbanks North Star Borough,,,-147.7367016,64.83053855
Interior Community Health Center,7029990234,Federally Qualified Health Center,Mental Health,18,AK,Designated,7/14/2003,,Fairbanks North Star Borough,,,-147.7285333,64.82988082
Copper River Native Association,702999026I,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,1/22/2015,,Valdez-Cordova Census Area,,,-145.3232899,61.97836
Ketchikan Indian Corporation,7029990269,Native American/Tribal Facility/Population,Mental Health,17,AK,Designated,10/26/2002,,Ketchikan Gateway Borough,,,-131.6845742,55.35241317
Kana Clinic Native Village of Karluk,7029990214,Alaskan Native Tribal Population,Mental Health,12,AK,Designated,3/16/2018,,Kodiak Island Borough,,,-154.4374463,57.56380653
CF-Anchorage Correctional Complex,7023921828,Correctional Facility,Mental Health,6,AK,Designated,10/14/2016,,Anchorage Borough,,,-149.85807,61.218535
City of Seward Administration,702999020F,Federally Qualified Health Center,Mental Health,17,AK,Designated,11/1/2013,,Kenai Peninsula Borough,,,-149.43942,60.10285246
Norton Sound Health Corporation-Tribal Clinic,7029990204,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,5/17/2013,,Nome Census Area,,,-165.4067825,64.499244
Annette Island Service Unit/Metlakatla Indian Community,702999026K,Native American/Tribal Facility/Population,Mental Health,15,AK,Designated,2/15/2017,,Prince of Wales-Hyder Census Area,,,-131.5754782,55.12476526
Alaska Native Tribal Health Consortium,7029990272,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,12/28/2018,,Anchorage Borough,,,-149.8079551,61.18315056
Council of Athabascan Tribal Government,7029990254,Federally Qualified Health Center,Mental Health,21,AK,Designated,1/1/2002,,Yukon-Koyukuk Census Area,,,-145.2564599,66.5657231
Lake and Peninsula Borough,702164,Geographic HPSA,Mental Health,0,AK,Withdrawn,7/31/2000,1/21/2010,,Geographic Population,18,,
Copper Center Catchment Area 13,7029990211,Geographic HPSA,Mental Health,0,AK,Withdrawn,4/24/1987,12/31/1996,,Geographic Population,12,,
Kodiak Area Native Association,7029990201,Federally Qualified Health Center,Mental Health,21,AK,Designated,10/26/2002,,Kodiak Island Borough,,,-152.3542056,57.81231836
Chugachmiut,702999020E,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,10/26/2002,,Anchorage Borough,,,-149.8084205,61.204194
Norton Sound Regional Hospital Fast Track,702999020A,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,5/17/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Health Corporation-Behavioral Health Tribal,7029990203,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,5/16/2013,,Nome Census Area,,,-165.4067825,64.499244
Cross Roads Medical Center,7029990259,Federally Qualified Health Center,Mental Health,19,AK,Designated,10/26/2002,,Valdez-Cordova Census Area,,,-145.5191964,62.1078187
Yakutat Borough,7024715404,Geographic HPSA,Mental Health,9,AK,Designated,10/8/2013,,,Geographic Population,4.7,,
Seldovia Village Health Center,7029990239,Federally Qualified Health Center,Mental Health,17,AK,Designated,7/14/2003,,Kenai Peninsula Borough,,,-151.7174831,59.44227714
Denali Borough,7024819039,Geographic HPSA,Mental Health,8,AK,Designated,10/8/2013,,,Geographic Population,12.7,,
Yukon-Kuskokwim Health Corporation,7029990229,Federally Qualified Health Center,Mental Health,19,AK,Designated,7/14/2003,,Bethel Census Area,,,-161.7500985,60.79282977
Searhc-Craig Behavioral Health,702999020B,Alaskan Native Tribal Population,Mental Health,17,AK,Designated,5/22/2013,,Prince of Wales-Hyder Census Area,,,-133.1146353,55.52790003
Bristol Bay/Lake and Peninsula Boroughs,6025723344,High Needs Geographic HPSA,Dental Health,16,AK,Designated,9/20/2017,,,Geographic Population,13.6,,
Northern Matanuska Susitna,6029990203,Geographic HPSA,Dental Health,14,AK,Withdrawn,8/26/2013,7/2/2018,,Geographic Population,,,
Yakutat Borough,6021717373,Geographic HPSA,Dental Health,5,AK,Designated,4/20/2001,,,Geographic Population,4.7,,
Bethel and Wade Hampton Census Areas,6027649390,Geographic HPSA,Dental Health,19,AK,Designated,12/30/2013,,,Geographic Population,26.5,,
Seaview Community Services,6029990226,Federally Qualified Health Center,Dental Health,0,AK,Withdrawn,10/26/2002,,Kenai Peninsula Borough,,,-149.44161,60.10022429
Bethel Area,602050,Geographic HPSA,Dental Health,0,AK,Withdrawn,7/28/1978,11/3/2011,,Geographic Population,,,
Low Income - Fairbanks North Star Borough,6029990204,HPSA Population,Dental Health,7,AK,Withdrawn,2/28/2002,6/25/2014,,Low Income Population HPSA,,,
North Slope Borough,6024303921,Geographic HPSA,Dental Health,15,AK,Designated,9/4/1985,,,Geographic Population,10.1,,
Alaska Island Community Services,6029990237,Federally Qualified Health Center,Dental Health,14,AK,Designated,10/26/2002,,Wrangell City and Borough,,,-132.380145,56.4712602
Kenaitze Indian Tribe,6029990220,Native American/Tribal Facility/Population,Dental Health,12,AK,Designated,12/7/2016,,Kenai Peninsula Borough,,,-151.2281825,60.6003
Skagway-Hoonah-Angoon Borough,602232,Geographic HPSA,Dental Health,16,AK,Withdrawn,4/20/2001,5/10/2013,,Geographic Population,,,
Lake and Peninsula Borough,602164,Geographic HPSA,Dental Health,0,AK,Withdrawn,4/20/2001,6/18/2008,,Geographic Population,15.6,,
Aleutians West Borough,6022051714,Geographic HPSA,Dental Health,14,AK,Designated,11/14/2013,,,Geographic Population,8.8,,
Chitina Tribal and Community Health Center,6029990250,Alaskan Native Tribal Population,Dental Health,12,AK,Designated,1/19/2018,,Valdez-Cordova Census Area,,,-144.4375115,61.514853
Low Income - North Anchorage,6029990202,HPSA Population,Dental Health,0,AK,Withdrawn,8/25/2000,11/3/2011,,Low Income Population HPSA,,,
Northwest Arctic Borough,6023291363,Geographic HPSA,Dental Health,19,AK,Designated,7/28/1978,,,Geographic Population,22.8,,
Dillingham Area,602070,Geographic HPSA,Dental Health,0,AK,Withdrawn,7/28/1978,6/18/2008,,Geographic Population,22.9,,
Wade Hampton,602270,Geographic HPSA,Dental Health,0,AK,Withdrawn,7/28/1978,6/29/2012,,Geographic Population,,,
Yukon-Kuskokwim-Delta Regional Hospital,602999020C,Native American/Tribal Facility/Population,Dental Health,0,AK,Withdrawn,11/20/2013,4/30/2015,Bethel Census Area,,,-161.7500985,60.79282977
Ninilchik Traditional Council,6029990248,Alaskan Native Tribal Population,Dental Health,12,AK,Designated,10/26/2002,,Kenai Peninsula Borough,,,-151.681553,60.018369
Southeast-Fairbanks,602240,High Needs Geographic HPSA,Dental Health,0,AK,Withdrawn,7/28/1978,11/3/2011,,Geographic Population,,,
Bristol Bay Borough,602060,Geographic HPSA,Dental Health,0,AK,Withdrawn,7/28/1978,6/18/2008,,Geographic Population,2.3,,
Hoonah-Angoon Census Area,6022033573,Geographic HPSA,Dental Health,14,AK,Designated,5/10/2013,,,Geographic Population,15,,
City of Galena Dba Edgar Nollner Health Center,6029990207,Federally Qualified Health Center,Dental Health,16,AK,Withdrawn,6/23/2003,,Yukon-Koyukuk Census Area,,,-156.929264,64.733586
Peninsula Community Health Services of Alaska Inc.,6029990236,Federally Qualified Health Center,Dental Health,16,AK,Designated,10/26/2002,,Kenai Peninsula Borough,,,-151.0681091,60.49301021
Front Street Community Health Center,602999020G,Federally Qualified Health Center,Dental Health,17,AK,Designated,4/1/2014,,Juneau Borough,,,-134.4061014,58.30051152
Bristol Bay Borough,6029990235,Federally Qualified Health Center,Dental Health,15,AK,Designated,10/26/2002,,Bristol Bay Borough,,,-157.0063805,58.732035
Cross Roads Medical Center,6029990239,Federally Qualified Health Center,Dental Health,24,AK,Designated,10/26/2002,,Valdez-Cordova Census Area,,,-145.5191964,62.1078187
Southeast Alaska Region Health Consortium,6029990212,Federally Qualified Health Center,Dental Health,16,AK,Designated,6/23/2003,,Juneau Borough,,,-134.4695938,58.32972501
Yakutat Tlingit Tribe,6029990238,Federally Qualified Health Center,Dental Health,12,AK,Designated,10/26/2002,,Yakutat Borough,,,-139.7319009,59.5442237
Aleutians/Pribilof Islands Association,6029990231,Federally Qualified Health Center,Dental Health,20,AK,Designated,8/22/2005,,Anchorage Borough,,,-149.8620121,61.17368046
Yukon-Koyukuk Census Area,6023020801,Geographic HPSA,Dental Health,20,AK,Designated,7/28/1978,,,Geographic Population,24,,
Yukon-Kuskokwim Health Corporation,6029990210,Federally Qualified Health Center,Dental Health,19,AK,Designated,6/23/2003,,Bethel Census Area,,,-161.7500985,60.79282977
Maniilaq Association,6029990230,Federally Qualified Health Center,Dental Health,19,AK,Designated,10/26/2002,,Northwest Arctic Borough,,,-162.5927212,66.89462689
Anchorage Community Mental Health Services,6029990229,Alaskan Native Tribal Population,Dental Health,1,AK,Withdrawn,5/23/2005,,Anchorage Borough,,,-149.8306663,61.18378381
Girdwood Health Clinic,602999024F,Federally Qualified Health Center,Dental Health,19,AK,Designated,2/15/2017,,Anchorage Borough,,,-149.1339758,60.96380556
Alaska Native Tribal Health Consortium,6029990252,Alaskan Native Tribal Population,Dental Health,19,AK,Designated,12/28/2018,,Anchorage Borough,,,-149.8079551,61.18315056
Pr. Wales-Outer Ketchikan,602201,Geographic HPSA,Dental Health,0,AK,Withdrawn,7/28/1978,9/4/1985,,Geographic Population,0,,
Bristol Bay Area,6029990244,High Needs Geographic HPSA,Dental Health,16,AK,Withdrawn,12/27/2012,7/2/2018,,Geographic Population,23.8,,
Council of Athabascan Tribal Government,6029990234,Federally Qualified Health Center,Dental Health,22,AK,Designated,10/26/2002,,Yukon-Koyukuk Census Area,,,-145.2564599,66.5657231
Dahl Memorial Clinic,6029990243,Federally Qualified Health Center,Dental Health,22,AK,Designated,10/31/2006,,Skagway Municipality,,,-135.3064564,59.4607463
Chugachmiut,602999020E,Alaskan Native Tribal Population,Dental Health,19,AK,Designated,10/26/2002,,Anchorage Borough,,,-149.8084205,61.204194
Alaska Women's Resource Center,6029990228,Federally Qualified Health Center Look A Like,Dental Health,0,AK,Withdrawn,5/11/2005,,Anchorage Borough,,,-149.887421,61.216362
Scf Valley Native Primary Care Center,702999026G,Alaskan Native Tribal Population,Mental Health,19,AK,Designated,8/15/2011,,Matanuska-Susitna Borough,,,-149.4037606,61.57443248
Southcentral Foundation,6029990232,Federally Qualified Health Center,Dental Health,17,AK,Designated,8/22/2005,,Anchorage Borough,,,-149.7960094,61.1819035
Seldovia Village Health Center,6029990219,Federally Qualified Health Center,Dental Health,14,AK,Designated,6/23/2003,,Kenai Peninsula Borough,,,-151.7174831,59.44227714
Native Village of Kwinhagak,6029990218,Alaskan Native Tribal Population,Dental Health,22,AK,Designated,3/16/2018,,Bethel Census Area,,,-161.913341,59.74435878
Dena' Nena' Henash,6029990211,Federally Qualified Health Center,Dental Health,16,AK,Designated,6/23/2003,,Fairbanks North Star Borough,,,-147.7074724,64.84412145
Upper Tanana Health Center,702999020H,Native American/Tribal Facility/Population,Mental Health,18,AK,Designated,9/16/2014,,Southeast Fairbanks Census Area,,,-142.9848035,63.335796
Kanakanak Hospital,602999024A,Native American/Tribal Facility/Population,Dental Health,20,AK,Designated,10/16/2012,,Dillingham Census Area,,,-158.4600515,59.040429
Samuel Simmonds Memorial Hospital,602999024B,Native American/Tribal Facility/Population,Dental Health,18,AK,Designated,10/16/2012,,North Slope Borough,,,-156.7795785,71.29242757
Eastern Aleutian Tribe Inc.,6029990216,Federally Qualified Health Center,Dental Health,17,AK,Designated,6/23/2003,,Anchorage Borough,,,-149.8833056,61.20562103
Nome Area,6023483210,Geographic HPSA,Dental Health,13,AK,Designated,10/10/2013,,,Geographic Population,27.6,,
Scf Valley Native Primary Care Center,602999024C,Alaskan Native Tribal Population,Dental Health,17,AK,Designated,8/15/2011,,Matanuska-Susitna Borough,,,-149.4037606,61.57443248
