HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,pct_of_pop_below_poverty,Longitude,Latitude
Akiachak Native Community,1029990271,Alaskan Native Tribal Population,Primary Care,17,AK,Designated,10/26/2002,,Bethel Census Area,,,-161.22758,60.91211815
Alaska Native Population-South Anchorage,10299902A1,Alaskan Native Tribal Population,Primary Care,10,AK,Withdrawn,09/20/2007,,Anchorage Borough,,,-149.86794,61.21412
Alaska Native Tribal Health Consortium,7029990272,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,12/28/2018,,Anchorage Borough,,,-149.8079551,61.18315056
Alaska Native Tribal Health Consortium,6029990252,Alaskan Native Tribal Population,Dental Health,19,AK,Designated,12/28/2018,,Anchorage Borough,,,-149.8079551,61.18315056
Alaska Native Tribal Health Consortium-Ob/Gyn,10299902AM,Alaskan Native Tribal Population,Primary Care,17,AK,Designated,12/28/2018,,Anchorage Borough,,,-149.7954765,61.18039995
Alaska Native-East Anchorage,10299902A2,Alaskan Native Tribal Population,Primary Care,4,AK,Withdrawn,09/20/2007,,Anchorage Borough,,,-149.86794,61.21412
Anchorage Community Mental Health Services,7029990249,Alaskan Native Tribal Population,Mental Health,0,AK,Withdrawn,05/23/2005,,Anchorage Borough,,,-149.8306663,61.18378381
Anchorage Community Mental Health Services,6029990229,Alaskan Native Tribal Population,Dental Health,1,AK,Withdrawn,05/23/2005,,Anchorage Borough,,,-149.8306663,61.18378381
Anchorage Community Mental Health Services,1029990253,Alaskan Native Tribal Population,Primary Care,0,AK,Withdrawn,05/23/2005,,Anchorage Borough,,,-149.8306663,61.18378381
Apia St. Paul Health Center,10299902AE,Alaskan Native Tribal Population,Primary Care,17,AK,Designated,10/02/2003,,Aleutians West Census Area,,,-170.260991,57.150789
Chitina Tribal and Community Health Center,7029990270,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,01/19/2018,,Valdez-Cordova Census Area,,,-144.4375115,61.514853
Chitina Tribal and Community Health Center,6029990250,Alaskan Native Tribal Population,Dental Health,12,AK,Designated,01/19/2018,,Valdez-Cordova Census Area,,,-144.4375115,61.514853
Chitina Tribal and Community Health Center,10299902AA,Alaskan Native Tribal Population,Primary Care,18,AK,Designated,10/02/2002,,Valdez-Cordova Census Area,,,-144.4375115,61.514853
Chugachmiut,702999020E,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,10/26/2002,,Anchorage Borough,,,-149.8084205,61.204194
Chugachmiut,602999020E,Alaskan Native Tribal Population,Dental Health,19,AK,Designated,10/26/2002,,Anchorage Borough,,,-149.8084205,61.204194
Chugachmiut,10299902A8,Alaskan Native Tribal Population,Primary Care,21,AK,Designated,10/26/2002,,Anchorage Borough,,,-149.8084205,61.204194
Copper River Native Association,702999026I,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,01/22/2015,,Valdez-Cordova Census Area,,,-145.3232899,61.97836
Copper River Native Association,602999024E,Alaskan Native Tribal Population,Dental Health,18,AK,Designated,01/22/2015,,Valdez-Cordova Census Area,,,-145.3232899,61.97836
Copper River Native Association,1029990281,Alaskan Native Tribal Population,Primary Care,19,AK,Designated,10/26/2002,,Valdez-Cordova Census Area,,,-145.3232899,61.97836
Kana Clinic Native Village of Karluk,7029990214,Alaskan Native Tribal Population,Mental Health,12,AK,Designated,03/16/2018,,Kodiak Island Borough,,,-154.4374463,57.56380653
Kana Clinic Native Village of Karluk,6029990224,Alaskan Native Tribal Population,Dental Health,10,AK,Designated,03/16/2018,,Kodiak Island Borough,,,-154.4374463,57.56380653
Kana Clinic Native Village of Karluk,10299902AD,Alaskan Native Tribal Population,Primary Care,14,AK,Designated,10/21/2003,,Kodiak Island Borough,,,-154.4357825,57.563844
Knik Tribal Council,10299902AF,Alaskan Native Tribal Population,Primary Care,9,AK,Designated,08/15/2011,,Matanuska-Susitna Borough,,,-149.7708586,61.7680537
Mt. Sanford Tribal Consortium,7029990271,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,03/05/2018,,Valdez-Cordova Census Area,,,-144.2343058,62.71581126
Mt. Sanford Tribal Consortium,6029990251,Alaskan Native Tribal Population,Dental Health,20,AK,Designated,03/05/2018,,Valdez-Cordova Census Area,,,-144.2343058,62.71581126
Mt. Sanford Tribal Consortium,1029990287,Alaskan Native Tribal Population,Primary Care,18,AK,Designated,10/26/2002,,Valdez-Cordova Census Area,,,-144.3322025,62.424636
Native Village of Kwinhagak,7029990210,Alaskan Native Tribal Population,Mental Health,21,AK,Designated,03/16/2018,,Bethel Census Area,,,-161.913341,59.74435878
Native Village of Kwinhagak,6029990218,Alaskan Native Tribal Population,Dental Health,22,AK,Designated,03/16/2018,,Bethel Census Area,,,-161.913341,59.74435878
Ninilchik Traditional Council,702999026C,Alaskan Native Tribal Population,Mental Health,15,AK,Designated,10/26/2002,,Kenai Peninsula Borough,,,-151.681553,60.018369
Ninilchik Traditional Council,6029990248,Alaskan Native Tribal Population,Dental Health,12,AK,Designated,10/26/2002,,Kenai Peninsula Borough,,,-151.681553,60.018369
Ninilchik Traditional Council,1029990292,Alaskan Native Tribal Population,Primary Care,14,AK,Designated,10/26/2002,,Kenai Peninsula Borough,,,-151.681553,60.018369
Norton Sound Health Corporation-Behavioral Health Tribal,7029990203,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,05/16/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Health Corporation-Behavioral Health Tribal,6029990205,Alaskan Native Tribal Population,Dental Health,17,AK,Designated,05/16/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Health Corporation-Behavioral Health Tribal,1029990205,Alaskan Native Tribal Population,Primary Care,17,AK,Designated,05/16/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Health Corporation-Outpatient Primary Care/Dt Tribal,1029990207,Alaskan Native Tribal Population,Primary Care,17,AK,Designated,05/17/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Health Corporation-Outpatient Primary Care/Dt Tribal C,7029990207,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,05/17/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Health Corporation-Outpatient Primary Care/Dt Tribal C,602999020A,Alaskan Native Tribal Population,Dental Health,17,AK,Designated,05/17/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Health Corporation-Tribal Clinic,7029990204,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,05/17/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Health Corporation-Tribal Clinic,6029990209,Alaskan Native Tribal Population,Dental Health,17,AK,Designated,05/17/2013,,Nome Census Area,,,-165.4067825,64.499244
