HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,pct_of_pop_below_poverty,Longitude,Latitude
Aleutians East Borough,6025413820,Geographic HPSA,Dental Health,14,AK,Designated,04/10/2001,,,Geographic Population,16.3,,
Aleutians West Borough,6022051714,Geographic HPSA,Dental Health,14,AK,Designated,11/14/2013,,,Geographic Population,8.8,,
Bethel and Wade Hampton Census Areas,6027649390,Geographic HPSA,Dental Health,19,AK,Designated,12/30/2013,,,Geographic Population,26.5,,
Bethel Area,602050,Geographic HPSA,Dental Health,0,AK,Withdrawn,07/28/1978,11/03/2011,,Geographic Population,,,
Bristol Bay Borough,602060,Geographic HPSA,Dental Health,0,AK,Withdrawn,07/28/1978,06/18/2008,,Geographic Population,2.3,,
Denali Borough,6021823424,Geographic HPSA,Dental Health,16,AK,Designated,04/20/2001,,,Geographic Population,12.7,,
Dillingham Area,602070,Geographic HPSA,Dental Health,0,AK,Withdrawn,07/28/1978,06/18/2008,,Geographic Population,22.9,,
Hoonah-Angoon Census Area,6022033573,Geographic HPSA,Dental Health,14,AK,Designated,05/10/2013,,,Geographic Population,15,,
Lake and Peninsula Borough,602164,Geographic HPSA,Dental Health,0,AK,Withdrawn,04/20/2001,06/18/2008,,Geographic Population,15.6,,
Nome Area,6023483210,Geographic HPSA,Dental Health,13,AK,Designated,10/10/2013,,,Geographic Population,27.6,,
North Slope Borough,6024303921,Geographic HPSA,Dental Health,15,AK,Designated,09/04/1985,,,Geographic Population,10.1,,
Northern Matanuska Susitna,6029990203,Geographic HPSA,Dental Health,14,AK,Withdrawn,08/26/2013,07/02/2018,,Geographic Population,,,
Northwest Arctic Borough,6023291363,Geographic HPSA,Dental Health,19,AK,Designated,07/28/1978,,,Geographic Population,22.8,,
Pr. Wales-Outer Ketchikan,602201,Geographic HPSA,Dental Health,0,AK,Withdrawn,07/28/1978,09/04/1985,,Geographic Population,0,,
Skagway Municipality,6021043175,Geographic HPSA,Dental Health,12,AK,Designated,05/10/2013,,,Geographic Population,4.5,,
Skagway-Hoonah-Angoon Borough,602232,Geographic HPSA,Dental Health,16,AK,Withdrawn,04/20/2001,05/10/2013,,Geographic Population,,,
Upper Matanuska-Susitna Borough,6023973294,Geographic HPSA,Dental Health,16,AK,Designated,05/23/2017,,,Geographic Population,16.9,,
Valdez-Cordova Area,602261,Geographic HPSA,Dental Health,0,AK,Withdrawn,07/28/1978,09/04/1985,,Geographic Population,0,,
Wade Hampton,602270,Geographic HPSA,Dental Health,0,AK,Withdrawn,07/28/1978,06/29/2012,,Geographic Population,,,
Yakutat Borough,6021717373,Geographic HPSA,Dental Health,5,AK,Designated,04/20/2001,,,Geographic Population,4.7,,
Yukon-Koyukuk Census Area,6023020801,Geographic HPSA,Dental Health,20,AK,Designated,07/28/1978,,,Geographic Population,24,,
Bayou La Batre/Grand Bay,6019990111,Geographic HPSA,Dental Health,0,AL,Withdrawn,09/26/1994,09/15/2000,,Geographic Population,24.2,,
Crossville,6019990107,Geographic HPSA,Dental Health,0,AL,Withdrawn,05/11/1981,05/30/1997,,Geographic Population,25,,
East Mobile/Prichard,6019990105,Geographic HPSA,Dental Health,0,AL,Withdrawn,01/25/1980,08/25/1997,,Geographic Population,46,,
Ider,6019990108,Geographic HPSA,Dental Health,0,AL,Withdrawn,05/11/1981,10/02/1995,,Geographic Population,31,,
North Mobile,6019990112,Geographic HPSA,Dental Health,0,AL,Withdrawn,12/28/1994,01/24/2001,,Geographic Population,21.1,,
Pratt City,6019990101,Geographic HPSA,Dental Health,0,AL,Withdrawn,06/08/1979,10/02/1995,,Geographic Population,20,,
