HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,%of_Population_Below_100%_Poverty,Longitude,Latitude
Aleutians East Borough,7023897973,Geographic HPSA,Mental Health,9,AK,Designated,05/11/2000,,,Geographic Population,16.3,,
Aleutians West Borough,7027783420,Geographic HPSA,Mental Health,10,AK,Designated,12/11/2013,,,Geographic Population,8.8,,
Aniak (Catchment Area #10),7029990208,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,34,,
Bethel,702050,Geographic HPSA,Mental Health,0,AK,Withdrawn,08/15/1982,11/06/2009,,Geographic Population,20,,
Bethel and Wade Hampton,7023063508,Geographic HPSA,Mental Health,18,AK,Designated,12/23/2013,,,Geographic Population,26.5,,
Bethel and Wade Hampton,7029990265,Geographic HPSA,Mental Health,20,AK,Withdrawn,11/06/2009,06/27/2013,,Geographic Population,,,
Bethel Catchment Area #9,7029990202,Geographic HPSA,Mental Health,0,AK,Withdrawn,08/15/1982,12/31/1996,,Geographic Population,34,,
Bristol Bay Borough,702060,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,01/21/2010,,Geographic Population,2.2,,
Bristol Bay/Dillingham/Lake Peninsula,7021618875,Geographic HPSA,Mental Health,14,AK,Designated,01/21/2010,,,Geographic Population,16.6,,
Copper Center Catchment Area 13,7029990211,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,12,,
Cordova Catchment Area 23,7029990219,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,12,,
Denali Borough,7024819039,Geographic HPSA,Mental Health,8,AK,Designated,10/08/2013,,,Geographic Population,12.7,,
Dillingham Area,702070,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,11/03/2011,,Geographic Population,,,
Fairbanks North Star,702090,Geographic HPSA,Mental Health,0,AK,Withdrawn,11/07/2001,01/13/2010,,Geographic Population,6.3,,
Fort Yukon Catchment Area 4,7029990205,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,29,,
Haines Borough,7024781329,Geographic HPSA,Mental Health,8,AK,Designated,12/06/2013,,,Geographic Population,7.7,,
Hoonah-Angoon,7025475603,Geographic HPSA,Mental Health,9,AK,Designated,05/10/2013,,,Geographic Population,15,,
Kenai Peninsula Borough,7025623286,Geographic HPSA,Mental Health,17,AK,Designated,11/03/2010,,,Geographic Population,9.2,,
Kenai/Homer (Catchment Area's 17 and 24),7029990215,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,11,,
Kodiak Island (Catchment Area #15),7029990213,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,10,,
Lake and Peninsula Borough,702164,Geographic HPSA,Mental Health,0,AK,Withdrawn,07/31/2000,01/21/2010,,Geographic Population,18,,
Matanuska-Susitna Borough,702170,Geographic HPSA,Mental Health,13,AK,Designated,04/13/2018,,,Geographic Population,10.1,,
Mc Grath (Catchment Area #11),7029990209,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,29,,
Nome Census Area,7029061002,Geographic HPSA,Mental Health,15,AK,Designated,10/23/2013,,,Geographic Population,27.6,,
Nome Census Area,7029990206,Geographic HPSA,Mental Health,0,AK,Withdrawn,09/08/2003,09/10/2008,,Geographic Population,0,,
North Slope Borough,7021216834,Geographic HPSA,Mental Health,13,AK,Designated,04/24/1987,,,Geographic Population,10.1,,
Northwest Arctic Borough,7021324875,Geographic HPSA,Mental Health,17,AK,Designated,04/24/1987,,,Geographic Population,22.8,,
Prince of Wales (Catchment Area #25),7029990220,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,11,,
Seward (Catchment Area #18),7029990216,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,11,,
Sitka,7029990221,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,0,,
Skagway Municipality,7028287844,Geographic HPSA,Mental Health,7,AK,Designated,05/10/2013,,,Geographic Population,4.5,,
Skagway-Hoonah-Angoon Borough,702232,Geographic HPSA,Mental Health,9,AK,Withdrawn,06/30/2000,05/10/2013,,Geographic Population,,,
Skagway-Yakutat-Angoon,702231,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,8.9,,
