state,hpsa_avg,medicaid_decison
DC,  19,Adopted
ID,  17,Adopted-Not Implemented
AR,  16,Adopted
OR,  16,Adopted
WA,  16,Adopted
NM,  16,Adopted
AZ,  16,Adopted
MT,  16,Adopted
LA,  15,Adopted
UT,  15,Adopted-Not Implemented
MS,  14,Not Adopted
AL,  14,Not Adopted
IN,  14,Adopted
NV,  14,Adopted
SD,  14,Not Adopted
WI,  13,Not Adopted
TN,  13,Not Adopted
OK,  13,Not Adopted
GA,  13,Not Adopted
KS,  13,Not Adopted
SC,  12,Not Adopted
CO,  12,Adopted
HI,  12,Adopted
IL,  12,Adopted
TX,  12,Not Adopted
MO,  12,Not Adopted
ND,  11,Adopted
CA,  11,Adopted
FL,  11,Not Adopted
MI,  11,Adopted
IA,  11,Adopted
CT,  10,Adopted
WV,  10,Adopted
NH,  10,Adopted
ME,  10,Adopted
MN,  10,Adopted
KY,  10,Adopted
OH,  10,Adopted
VA,   9,Adopted
MD,   9,Adopted
NC,   9,Not Adopted
NY,   9,Adopted
NE,   8,Adopted-Not Implemented
AK,   6,Adopted
PA,   6,Adopted
WY,   5,Not Adopted
MA,   5,Adopted
RI,   2,Adopted
DE,   0,Adopted
VT,   0,Adopted
NJ,   0,Adopted
