HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,%of_Population_Below_100%_Poverty,Longitude,Latitude
Aleutians East Borough,1029829477,Geographic HPSA,Primary Care,16,AK,Designated,06/17/1992,,,Geographic Population,16.3,,
Aleutians West Borough,1026580765,Geographic HPSA,Primary Care,15,AK,Designated,06/17/1992,,,Geographic Population,8.8,,
Bethel/Wade Hampton Census Areas,1023212062,Geographic HPSA,Primary Care,17,AK,Designated,11/14/2013,,,Geographic Population,26.5,,
Bristol Bay Borough,1029777978,Geographic HPSA,Primary Care,15,AK,Designated,08/22/2013,,,Geographic Population,7.2,,
Bristol Bay/Kokhanok,1029990202,Geographic HPSA,Primary Care,0,AK,Withdrawn,07/25/1978,10/02/1995,,Geographic Population,1.8,,
Chignik/Perryville,1029990215,Geographic HPSA,Primary Care,0,AK,Withdrawn,05/05/1989,10/02/1995,,Geographic Population,0,,
Cordova,1029990299,Geographic HPSA,Primary Care,16,AK,Withdrawn,01/04/2008,07/02/2018,,Geographic Population,2.3,,
Denali Borough,1024958410,Geographic HPSA,Primary Care,15,AK,Designated,09/23/1996,,,Geographic Population,12.7,,
Dillingham Area,102070,Geographic HPSA,Primary Care,0,AK,Withdrawn,07/25/1978,05/05/1989,,Geographic Population,22,,
Haines Borough,102100,Geographic HPSA,Primary Care,0,AK,Withdrawn,06/02/1993,09/20/1999,,Geographic Population,9.2,,
Hoonah-Angoon Census Area,1028855282,Geographic HPSA,Primary Care,16,AK,Designated,05/10/2013,,,Geographic Population,15,,
Juneau,1029990201,Geographic HPSA,Primary Care,0,AK,Withdrawn,07/25/1978,03/14/1984,,Geographic Population,4.6,,
Kake,1029990214,Geographic HPSA,Primary Care,0,AK,Withdrawn,05/02/1986,08/31/1993,,Geographic Population,0,,
Lake and Peninsula Borough,102164,Geographic HPSA,Primary Care,0,AK,Withdrawn,09/30/1996,02/01/2010,,Geographic Population,,,
Matanuska-Susitna,102170,Geographic HPSA,Primary Care,0,AK,Withdrawn,07/25/1978,03/14/1984,,Geographic Population,20,,
Nome Census Area,1028990664,Geographic HPSA,Primary Care,17,AK,Designated,07/25/1978,,,Geographic Population,27.6,,
North Slope Borough,1025693889,Geographic HPSA,Primary Care,15,AK,Designated,07/25/1978,,,Geographic Population,10.1,,
Northern Valdez-Cordova Census Area,1029534475,Geographic HPSA,Primary Care,16,AK,Designated,01/13/2010,,,Geographic Population,16.4,,
Northwest Arctic Borough,102188,Geographic HPSA,Primary Care,19,AK,Withdrawn,07/25/1978,06/27/2013,,Geographic Population,,,
Norton Sound,1029990220,Geographic HPSA,Primary Care,0,AK,Withdrawn,06/17/1992,04/07/2006,,Geographic Population,33.8,,
Prince of Wales-Hyder Census Area,1025475653,Geographic HPSA,Primary Care,16,AK,Designated,11/22/2011,,,Geographic Population,15.5,,
Prince of Wales-Outer Ketchikan,102201,Geographic HPSA,Primary Care,14,AK,Withdrawn,11/22/2011,11/22/2011,,Geographic Population,,,
Seward,1029990209,Geographic HPSA,Primary Care,0,AK,Withdrawn,02/28/1981,03/14/1984,,Geographic Population,11,,
Skagway Municipality,1021026875,Geographic HPSA,Primary Care,15,AK,Designated,05/10/2013,,,Geographic Population,4.5,,
Skagway-Hoonah-Angoon Borough,102232,Geographic HPSA,Primary Care,15,AK,Withdrawn,09/10/1996,05/10/2013,,Geographic Population,,,
Southeast Fairbanks Census Area,1029035922,Geographic HPSA,Primary Care,13,AK,Designated,07/25/1978,,,Geographic Population,13.6,,
St. Lawrence Island,1029990221,Geographic HPSA,Primary Care,0,AK,Withdrawn,06/17/1992,05/16/1997,,Geographic Population,31.8,,
Talkeetna/Trapper Creek,1029990222,Geographic HPSA,Primary Care,16,AK,Withdrawn,11/12/1993,07/02/2018,,Geographic Population,23,,
Togiak/Twin Hills,1029990216,Geographic HPSA,Primary Care,0,AK,Withdrawn,05/05/1989,10/02/1995,,Geographic Population,0,,
Upper Matanuska-Susitna Borough,1024654736,Geographic HPSA,Primary Care,14,AK,Designated,05/25/2017,,,Geographic Population,16.9,,
Valdez/Whittier,1029990223,Geographic HPSA,Primary Care,0,AK,Withdrawn,11/22/1993,09/20/1999,,Geographic Population,6.7,,
Valdez-Cordova Area,102261,Geographic HPSA,Primary Care,0,AK,Withdrawn,07/25/1978,03/14/1984,,Geographic Population,11,,
Whittier,1029990217,Geographic HPSA,Primary Care,0,AK,Withdrawn,05/05/1989,11/22/1993,,Geographic Population,9.1,,
Wrangell-Petersburg Area,102280,Geographic HPSA,Primary Care,0,AK,Withdrawn,08/31/1993,09/20/1999,,Geographic Population,5.7,,
Yakutat Borough,1023910025,Geographic HPSA,Primary Care,15,AK,Designated,09/26/1996,,,Geographic Population,4.7,,
Yukon-Koyukuk Census Area,1025407997,Geographic HPSA,Primary Care,15,AK,Designated,03/14/1984,,,Geographic Population,24,,
Dillingham Census Area/Lake and Peninsula Borough,10299902A7,High Needs Geographic HPSA,Primary Care,7,AK,Withdrawn,02/01/2010,06/25/2014,,Geographic Population,,,
Atmore (AL/FL),1019990166,Geographic HPSA,Primary Care,14,AL,Withdrawn,06/10/1994,07/02/2018,,Geographic Population,20.9,,
Autauga,101001,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/28/1978,11/16/1993,,Geographic Population,15.7,,
Autaugaville,1018523516,Geographic HPSA,Primary Care,12,AL,Designated,02/12/1998,,,Geographic Population,13.1,,
Barbour,101005,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/28/1978,04/02/1984,,Geographic Population,30,,
Bay Minette,1019990109,Geographic HPSA,Primary Care,0,AL,Withdrawn,03/10/1980,06/28/1989,,Geographic Population,15,,
Bayou La Batre/Grand Bay,1019990128,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/31/1978,01/19/2001,,Geographic Population,21.3,,
Bibb County,1014548142,Geographic HPSA,Primary Care,16,AL,Designated,05/20/1978,,,Geographic Population,17,,
Black Belt Community,1019990106,Geographic HPSA,Primary Care,0,AL,Withdrawn,09/17/1979,04/19/1988,,Geographic Population,28,,
Blount County,1011013263,Geographic HPSA,Primary Care,15,AL,Designated,10/18/1979,,,Geographic Population,17.2,,
Bryant/Flat Rock,1019990137,Geographic HPSA,Primary Care,0,AL,Withdrawn,04/02/1984,11/16/1993,,Geographic Population,0,,
Butler/South Lowndes,1019990182,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/08/1998,10/09/2007,,Geographic Population,31.7,,
Camden,1019990144,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/19/1985,05/07/1987,,Geographic Population,20,,
Camp Hill,1019990140,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/08/1984,05/30/2007,,Geographic Population,17.8,,
Cherokee Area,1019990113,Geographic HPSA,Primary Care,12,AL,Withdrawn,01/08/1980,11/13/2012,,Geographic Population,,,
Cherokee County,101019,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/08/1978,05/30/2012,,Geographic Population,,,
Cherokee County,1017558878,Geographic HPSA,Primary Care,15,AL,Designated,09/20/2018,,,Geographic Population,16.4,,
Cherokee/North Calhoun,101999019C,Geographic HPSA,Primary Care,13,AL,Withdrawn,05/30/2012,07/02/2018,,Geographic Population,21.6,,
Childersburg,1019990118,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/08/1978,06/10/1985,,Geographic Population,20,,
Clay County,101027,Geographic HPSA,Primary Care,12,AL,Designated,09/20/2018,,,Geographic Population,16.7,,
Clayton,1019990139,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/02/1984,10/27/2009,,Geographic Population,31.6,,
Cleburne County,1012523948,Geographic HPSA,Primary Care,18,AL,Designated,06/08/1978,,,Geographic Population,18.1,,
Coffee/Jackson,1019990134,Geographic HPSA,Primary Care,0,AL,Withdrawn,03/02/1982,04/05/1985,,Geographic Population,40,,
Coffeeville,1019990146,Geographic HPSA,Primary Care,0,AL,Withdrawn,10/21/1985,11/24/2000,,Geographic Population,26.3,,
Coosa County,1014106937,Geographic HPSA,Primary Care,14,AL,Designated,06/08/1978,,,Geographic Population,19.9,,
Cottonton/Hurtsboro,1019990108,Geographic HPSA,Primary Care,0,AL,Withdrawn,01/17/1980,07/30/1999,,Geographic Population,28.6,,
Crenshaw County,1016221956,Geographic HPSA,Primary Care,15,AL,Designated,06/28/1978,,,Geographic Population,17.1,,
Elmore,101051,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/05/1978,05/30/2007,,Geographic Population,11,,
Escambia,101053,Geographic HPSA,Primary Care,0,AL,Withdrawn,07/01/1981,04/02/1984,,Geographic Population,21,,
Etowah,1019990130,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/08/1978,07/18/1984,,Geographic Population,20,,
Flomaton,1019990152,Geographic HPSA,Primary Care,0,AL,Withdrawn,07/18/1989,06/10/1994,,Geographic Population,24,,
Gordon,1019990132,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/28/1978,10/02/1995,,Geographic Population,12,,
Grant,1019990119,Geographic HPSA,Primary Care,0,AL,Withdrawn,04/05/1983,04/05/1985,,Geographic Population,0,,
Grove Hill/Fulton,1019990147,Geographic HPSA,Primary Care,0,AL,Withdrawn,10/21/1985,11/24/2000,,Geographic Population,28.7,,
Henry/Clay (AL/GA),101999012B,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/01/2006,08/16/2011,,Geographic Population,,,
La Fayette,1011316048,Geographic HPSA,Primary Care,14,AL,Designated,06/08/1978,,,Geographic Population,23,,
Lawrence,101079,Geographic HPSA,Primary Care,12,AL,Withdrawn,07/20/1978,11/26/2012,,Geographic Population,,,
Lawrence County,1011043863,Geographic HPSA,Primary Care,15,AL,Designated,07/18/2018,,,Geographic Population,18.2,,
Limestone County,1015613847,Geographic HPSA,Primary Care,15,AL,Designated,08/24/2018,,,Geographic Population,14.1,,
Lincoln-Estaboga,1019990120,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/08/1978,06/10/1985,,Geographic Population,20,,
Munford,1019990102,Geographic HPSA,Primary Care,0,AL,Withdrawn,04/12/1979,04/02/1984,,Geographic Population,20,,
North Covington,1019990131,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/28/1978,04/02/1984,,Geographic Population,21,,
North Lowndes,1019990183,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/08/1998,10/09/2007,,Geographic Population,26.6,,
North Mobile,1019990169,Geographic HPSA,Primary Care,0,AL,Withdrawn,12/28/1994,01/19/2001,,Geographic Population,21.1,,
Oxford - South Anniston,1019990115,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/04/1981,04/05/1985,,Geographic Population,33,,
Paint Rock/Trenton,1019990136,Geographic HPSA,Primary Care,0,AL,Withdrawn,04/02/1984,11/16/1993,,Geographic Population,0,,
Pike,101109,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/28/1978,05/07/1987,,Geographic Population,26,,
Pratt City,1019990104,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/08/1979,04/05/1985,,Geographic Population,0,,
Roosevelt City,1019990129,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/31/1978,04/05/1985,,Geographic Population,0,,
Section Service Area,1019990159,Geographic HPSA,Primary Care,0,AL,Withdrawn,02/04/1993,11/16/1993,,Geographic Population,0,,
Shelby,101117,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/07/1987,11/03/2011,,Geographic Population,,,
South Covington,1019990112,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/28/1978,08/16/2002,,Geographic Population,23.7,,
South Montgomery,1019990105,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/30/1979,05/21/1985,,Geographic Population,0,,
Tallapoosa,101123,Geographic HPSA,Primary Care,0,AL,Withdrawn,04/18/1980,04/02/1984,,Geographic Population,17,,
Thomasville,1019990145,Geographic HPSA,Primary Care,0,AL,Withdrawn,06/19/1985,10/21/1985,,Geographic Population,20,,
Triana,1019990101,Geographic HPSA,Primary Care,0,AL,Withdrawn,10/27/1978,04/02/1984,,Geographic Population,22,,
Warrior-Morris,1019990107,Geographic HPSA,Primary Care,0,AL,Withdrawn,11/20/1979,04/05/1985,,Geographic Population,19,,
Washington County,1013727029,Geographic HPSA,Primary Care,14,AL,Designated,01/15/1979,,,Geographic Population,15.8,,
Waterloo,1019990114,Geographic HPSA,Primary Care,0,AL,Withdrawn,10/10/1979,10/02/1995,,Geographic Population,25,,
Weaver/North Anniston,1019990111,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/04/1981,04/05/1985,,Geographic Population,47,,
Webster Chapel/Alexandria,1019990116,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/04/1981,04/05/1985,,Geographic Population,0,,
West Limestone,1019990138,Geographic HPSA,Primary Care,0,AL,Withdrawn,04/02/1984,02/28/1996,,Geographic Population,13.4,,
West Tuscaloosa,1019990127,Geographic HPSA,Primary Care,0,AL,Withdrawn,05/30/1978,08/12/1994,,Geographic Population,34.9,,
Westover,1019990117,Geographic HPSA,Primary Care,0,AL,Withdrawn,04/27/1983,05/07/1987,,Geographic Population,0,,
Barbour County,1017880865,High Needs Geographic HPSA,Primary Care,20,AL,Designated,08/02/2018,,,Geographic Population,26.3,,
Bullock County,1012992827,High Needs Geographic HPSA,Primary Care,21,AL,Designated,02/16/1990,,,Geographic Population,20.5,,
Butler County,1018349010,High Needs Geographic HPSA,Primary Care,15,AL,Designated,04/13/2018,,,Geographic Population,25.9,,
Chilton County,1016207242,High Needs Geographic HPSA,Primary Care,13,AL,Designated,08/24/2018,,,Geographic Population,20.2,,
Choctaw County,1012581924,High Needs Geographic HPSA,Primary Care,20,AL,Designated,01/15/1979,,,Geographic Population,21.4,,
Clarke County,1016143859,High Needs Geographic HPSA,Primary Care,18,AL,Designated,08/02/2018,,,Geographic Population,24.6,,
Conecuh County,1013458488,High Needs Geographic HPSA,Primary Care,15,AL,Designated,01/15/1979,,,Geographic Population,32.9,,
Dale County,1018707044,High Needs Geographic HPSA,Primary Care,15,AL,Designated,06/28/1978,,,Geographic Population,18.7,,
Dallas County,1011922768,High Needs Geographic HPSA,Primary Care,15,AL,Designated,08/02/2018,,,Geographic Population,34.3,,
Dekalb County,1014014923,High Needs Geographic HPSA,Primary Care,14,AL,Designated,11/06/2012,,,Geographic Population,20.1,,
Dekalb County,101149,High Needs Geographic HPSA,Primary Care,14,AL,Withdrawn,11/06/2012,11/06/2012,,Geographic Population,,,
Escambia County,1018089605,High Needs Geographic HPSA,Primary Care,11,AL,Designated,11/15/2018,,,Geographic Population,25.2,,
Fayette/Lamar Counties,1012403035,High Needs Geographic HPSA,Primary Care,15,AL,Designated,03/08/2002,,,Geographic Population,21.6,,
Franklin County,1016221147,High Needs Geographic HPSA,Primary Care,10,AL,Designated,08/02/2018,,,Geographic Population,22.2,,
Geneva County,1012832390,High Needs Geographic HPSA,Primary Care,14,AL,Designated,06/28/1978,,,Geographic Population,22.6,,
Greene County,1013258775,High Needs Geographic HPSA,Primary Care,23,AL,Designated,11/17/2003,,,Geographic Population,36.6,,
Hale County,1015790314,High Needs Geographic HPSA,Primary Care,20,AL,Designated,11/17/2003,,,Geographic Population,27.9,,
Henry County,1018758807,High Needs Geographic HPSA,Primary Care,11,AL,Designated,10/12/2011,,,Geographic Population,14.8,,
Lowndes County,1011424903,High Needs Geographic HPSA,Primary Care,22,AL,Designated,06/28/1978,,,Geographic Population,29.2,,
Marengo County,1015035920,High Needs Geographic HPSA,Primary Care,17,AL,Designated,03/27/1991,,,Geographic Population,24.9,,
Marshall County,1018055717,High Needs Geographic HPSA,Primary Care,10,AL,Designated,11/15/2018,,,Geographic Population,20.5,,
Monroe County,1011280904,High Needs Geographic HPSA,Primary Care,18,AL,Designated,08/02/2018,,,Geographic Population,32.1,,
Perry County,1019011119,High Needs Geographic HPSA,Primary Care,19,AL,Designated,01/15/1979,,,Geographic Population,37.3,,
Pickens County,1018330731,High Needs Geographic HPSA,Primary Care,13,AL,Designated,05/20/1978,,,Geographic Population,25.5,,
Randolph County,1011761489,High Needs Geographic HPSA,Primary Care,17,AL,Designated,08/02/2018,,,Geographic Population,20.5,,
Russell County,1018848931,High Needs Geographic HPSA,Primary Care,19,AL,Designated,08/02/2018,,,Geographic Population,21.5,,
South Covington,101999012H,High Needs Geographic HPSA,Primary Care,14,AL,Proposed For Withdrawal,10/27/2009,,,Geographic Population,22.2,,
St. Clair County,1015738458,High Needs Geographic HPSA,Primary Care,9,AL,Designated,11/13/2012,,,Geographic Population,16,,
Sumter County,1011212577,High Needs Geographic HPSA,Primary Care,18,AL,Designated,11/26/2012,,,Geographic Population,38.5,,
Talladega County,1012294129,High Needs Geographic HPSA,Primary Care,13,AL,Designated,12/31/2018,,,Geographic Population,20.7,,
Tallassee Service Area,1017860702,High Needs Geographic HPSA,Primary Care,18,AL,Designated,05/30/2007,,,Geographic Population,17.8,,
Wilcox County,1011928385,High Needs Geographic HPSA,Primary Care,18,AL,Designated,01/15/1979,,,Geographic Population,40.5,,
Winston County,1017577031,High Needs Geographic HPSA,Primary Care,15,AL,Designated,07/20/1978,,,Geographic Population,22.3,,
Altheimer,1059990528,Geographic HPSA,Primary Care,15,AR,Withdrawn,03/14/1984,07/02/2018,,Geographic Population,26.9,,
Ashley,105003,Geographic HPSA,Primary Care,0,AR,Withdrawn,07/19/1978,04/04/1985,,Geographic Population,20,,
Bearden Service Area,1052545281,Geographic HPSA,Primary Care,15,AR,Designated,04/15/1994,,,Geographic Population,16.9,,
Bradley,105011,Geographic HPSA,Primary Care,0,AR,Withdrawn,07/19/1978,03/31/1982,,Geographic Population,26,,
Calhoun,105013,Geographic HPSA,Primary Care,0,AR,Withdrawn,07/19/1978,11/03/2011,,Geographic Population,,,
Calhoun County,1053996219,Geographic HPSA,Primary Care,12,AR,Designated,12/29/2016,,,Geographic Population,16.7,,
Carthage,1059990540,Geographic HPSA,Primary Care,0,AR,Withdrawn,05/12/1988,06/25/2007,,Geographic Population,18,,
Cass,1059990544,Geographic HPSA,Primary Care,0,AR,Withdrawn,08/07/1989,05/14/1991,,Geographic Population,65.4,,
Cave,1059990526,Geographic HPSA,Primary Care,0,AR,Withdrawn,03/14/1984,02/05/1986,,Geographic Population,24,,
Central Pine Bluff,1059990558,Geographic HPSA,Primary Care,0,AR,Withdrawn,03/31/1997,01/24/2002,,Geographic Population,37.8,,
Charleston Service Area,1059990598,Geographic HPSA,Primary Care,10,AR,Withdrawn,05/12/2005,06/25/2014,,Geographic Population,,,
Clarendon/Holly Grove,1059990516,Geographic HPSA,Primary Care,0,AR,Withdrawn,05/15/1981,03/31/1997,,Geographic Population,35.5,,
Cleveland,105025,Geographic HPSA,Primary Care,0,AR,Withdrawn,07/19/1978,06/29/2012,,Geographic Population,,,
