state,hpsa_avg,medicaid_decison
MS,  12,Not Adopted
AZ,  10,Adopted
GA,   9,Not Adopted
AK,   9,Adopted
TX,   9,Not Adopted
ND,   9,Adopted
NM,   9,Adopted
AL,   8,Not Adopted
KY,   8,Adopted
KS,   7,Not Adopted
LA,   7,Adopted
NV,   7,Adopted
OH,   7,Adopted
DC,   7,Adopted
FL,   7,Not Adopted
CA,   7,Adopted
HI,   7,Adopted
WA,   7,Adopted
IN,   6,Adopted
WY,   6,Not Adopted
MO,   6,Not Adopted
CO,   6,Adopted
SD,   6,Not Adopted
MT,   6,Adopted
VA,   6,Adopted
MI,   5,Adopted
AR,   5,Adopted
SC,   5,Not Adopted
IL,   5,Adopted
UT,   5,Adopted-Not Implemented
TN,   5,Not Adopted
WI,   4,Not Adopted
IA,   4,Adopted
OR,   4,Adopted
MD,   4,Adopted
MN,   4,Adopted
NC,   4,Not Adopted
ID,   4,Adopted-Not Implemented
ME,   4,Adopted
DE,   3,Adopted
OK,   3,Not Adopted
WV,   3,Adopted
NH,   2,Adopted
RI,   2,Adopted
NY,   2,Adopted
VT,   2,Adopted
NE,   2,Adopted-Not Implemented
PA,   2,Adopted
MA,   1,Adopted
CT,   1,Adopted
NJ,   0,Adopted
